index,syst,chain,tm1,tm2,min,max,pdb
 145,3nij_B_A-B_0,A,0.170,0.341,0.170,0.341,3nij
 146,3woo_C_A-B-C-D_0,A,0.325,0.129,0.129,0.325,3woo
 147,5xup_D_A-B-C-D_0,B,0.236,0.250,0.236,0.250,5xup
 148,4ojf_A_A-H-L_0,L,0.951,0.922,0.922,0.951,4ojf
 149,4ojf_A_A-H-L_0,H,0.498,0.487,0.487,0.498,4ojf
 150,4quh_D_A-C-D-I-J_0,A,0.262,0.246,0.246,0.262,4quh
 151,4j86_C_A-C_0,A,0.234,0.183,0.183,0.234,4j86
 152,2v3s_C_B-C_1,B,0.190,0.323,0.190,0.323,2v3s
 153,6exj_B_A-B_0,A,0.167,0.309,0.167,0.309,6exj
 154,3zin_C_A-B-C_0,A,0.261,0.155,0.155,0.261,3zin
 155,4que_E_A-C-D-E-H-J_0,A,0.261,0.245,0.245,0.261,4que
 156,4k72_C_A-C_0,A,0.195,0.363,0.195,0.363,4k72
 157,4pxm_D_A-B-C-D_0,B,0.233,0.223,0.223,0.233,4pxm
 158,4nnm_C_A-C_0,A,0.210,0.322,0.210,0.322,4nnm
 159,3ou3_C_A-B-C_0,A,0.177,0.301,0.177,0.301,3ou3
 160,3ou3_C_A-B-C_0,B,0.176,0.295,0.176,0.295,3ou3
 161,1yth_I_A-B-I_0,A,0.173,0.291,0.173,0.291,1yth
 162,1yth_I_A-B-I_0,B,0.178,0.298,0.178,0.298,1yth
 163,5zw6_C_A-B-C-D_0,A,0.258,0.164,0.164,0.258,5zw6
 164,3rc4_B_A-B_0,A,0.252,0.264,0.252,0.264,3rc4
 165,3mqr_B_A-B_0,A,0.289,0.406,0.289,0.406,3mqr
 166,5elq_P_A-P_0,A,0.182,0.325,0.182,0.325,5elq
 167,3fp2_Q_A-Q_0,A,0.253,0.139,0.139,0.253,3fp2
 168,4ezq_B_A-B_1,A,0.250,0.247,0.247,0.250,4ezq
 169,4jop_C_A-C_0,A,0.194,0.354,0.194,0.354,4jop
 170,4j45_B_A-B_0,A,0.160,0.294,0.160,0.294,4j45
 171,1svz_C_A-B-C-D_0,A,0.464,0.426,0.426,0.464,1svz
 172,2bgr_Y_A-B-Y-Z_0,A,0.308,0.122,0.122,0.308,2bgr
 173,4m38_E_A-B-E-F_0,A,0.324,0.240,0.240,0.324,4m38
 174,3sjk_B_A-B_0,A,0.225,0.255,0.225,0.255,3sjk
 175,3ufm_B_A-B_0,A,0.251,0.237,0.237,0.251,3ufm
 176,4mvk_B_A-B_0,A,0.212,0.247,0.212,0.247,4mvk
 177,2wa8_D_C-D_1,C,0.219,0.360,0.219,0.360,2wa8
 178,2zjd_D_C-D_5,C,0.230,0.355,0.230,0.355,2zjd
 179,2v5f_X_A-X_0,A,0.166,0.291,0.166,0.291,2v5f
 180,3q49_C_B-C_0,B,0.174,0.238,0.174,0.238,3q49
 181,4ezw_E_A-E_0,A,0.232,0.231,0.231,0.232,4ezw
 182,2x6m_B_A-B_0,A,0.444,0.710,0.444,0.710,2x6m
 183,5jiu_C_A-B-C-D_0,A,0.266,0.269,0.266,0.269,5jiu
 184,5e6o_E_B-E_1,B,0.214,0.341,0.214,0.341,5e6o
 185,3gv4_H_A-H_0,A,0.210,0.345,0.210,0.345,3gv4
 186,1rzx_B_A-B_0,A,0.189,0.324,0.189,0.324,1rzx
 187,4ny3_C_A-C_0,A,0.292,0.228,0.228,0.292,4ny3
 188,1sem_C_A-B-C-D_0,A,0.146,0.322,0.146,0.322,1sem
 189,2ce9_X_A-B-X_0,A,0.233,0.169,0.169,0.233,2ce9
 190,4g69_B_A-B_0,A,0.197,0.343,0.197,0.343,4g69
 191,5huy_B_A-B-C_0,C,0.256,0.153,0.153,0.256,5huy
 192,4qbr_P_A-P_0,A,0.188,0.250,0.188,0.250,4qbr
 193,3rt9_B_A-B_0,F,0.298,0.164,0.164,0.298,3rt9
 194,3rt9_B_A-B_0,A,0.298,0.164,0.164,0.298,3rt9
 195,3d9t_D_B-D_1,B,0.181,0.317,0.181,0.317,3d9t
 196,6cdg_B_A-B_0,A,0.236,0.280,0.236,0.280,6cdg
 197,4j46_B_A-B_0,A,0.161,0.302,0.161,0.302,4j46
 198,3cww_E_A-B-D-E_0,A,0.428,0.133,0.133,0.428,3cww
 199,1kyd_P_A-P_0,A,0.399,0.357,0.357,0.399,1kyd
 200,2nph_S_A-B-S-T_0,A,0.174,0.290,0.174,0.290,2nph
