index,syst,chain,tm1,tm2,min,max,pdb
 165,1b32_B_A-B_0,A,0.372,0.130,0.130,0.372,1b32
 166,4ojf_A_A-H-L_0,L,0.297,0.209,0.209,0.297,4ojf
 167,4ojf_A_A-H-L_0,H,0.310,0.212,0.212,0.310,4ojf
 168,1czy_D_A-B-C-D-E_0,A,0.341,0.273,0.273,0.341,1czy
 169,4pxm_D_A-B-C-D_0,B,0.396,0.258,0.258,0.396,4pxm
 170,6cwp_F_A-B-F_0,A,0.386,0.196,0.196,0.386,6cwp
 171,6cwp_F_A-B-F_0,B,0.384,0.191,0.191,0.384,6cwp
 172,4ezn_C_A-B-C-D_0,A,0.359,0.246,0.246,0.359,4ezn
 173,3drh_B_A-B_0,A,0.359,0.113,0.113,0.359,3drh
 174,4jop_C_A-C_0,A,0.269,0.334,0.269,0.334,4jop
 175,4k3r_E_A-B-E_0,A,0.336,0.147,0.147,0.336,4k3r
 176,4hxj_C_A-C_0,A,0.228,0.346,0.228,0.346,4hxj
 177,4f75_C_A-B-C-D_0,A,0.278,0.317,0.278,0.317,4f75
 178,4f75_C_A-B-C-D_0,B,0.275,0.314,0.275,0.314,4f75
 179,5jjm_G_A-G-M_0,A,0.415,0.249,0.249,0.415,5jjm
 180,3zs6_B_A-B_0,A,0.314,0.107,0.107,0.314,3zs6
 181,3nii_B_A-B_0,A,0.282,0.369,0.282,0.369,3nii
 182,3hds_E_A-D-E_0,D,0.291,0.315,0.291,0.315,3hds
 183,3hds_E_A-D-E_0,A,0.308,0.319,0.308,0.319,3hds
 184,2x6m_B_A-B_0,A,0.307,0.301,0.301,0.307,2x6m
 185,5fch_C_A-B-C_0,A,0.401,0.163,0.163,0.401,5fch
 186,5fch_C_A-B-C_0,B,0.365,0.153,0.153,0.365,5fch
 187,6eja_B_A-B_0,A,0.459,0.110,0.110,0.459,6eja
 188,5m5t_E_A-E-G-I_0,A,0.383,0.153,0.153,0.383,5m5t
 189,2v17_A_A-H-L_0,L,0.282,0.179,0.179,0.282,2v17
 190,2v17_A_A-H-L_0,H,0.274,0.184,0.184,0.274,2v17
 191,5fgb_G_B-E-G_1,E,0.299,0.203,0.203,0.299,5fgb
 192,5fgb_G_B-E-G_1,B,0.295,0.209,0.209,0.295,5fgb
 193,4j77_D_B-D_1,B,0.349,0.162,0.162,0.349,4j77
