index,syst,chain,tm1,tm2,min,max,pdb
  82,4ezw_E_A-E_0,A,0.344,0.233,0.233,0.344,4ezw
  83,5fgb_G_B-E-G_1,E,0.298,0.212,0.212,0.298,5fgb
  84,5fgb_G_B-E-G_1,B,0.302,0.217,0.217,0.302,5fgb
  85,5iz2_Z_A-B-Z_0,B,0.358,0.367,0.358,0.367,5iz2
  86,4k75_B_A-B_0,A,0.252,0.340,0.252,0.340,4k75
  87,5b74_D_A-B-D_0,B,0.285,0.291,0.285,0.291,5b74
  88,5yba_B_A-B-C-D_0,A,0.308,0.259,0.259,0.308,5yba
  89,4ezn_C_A-B-C-D_0,A,0.346,0.237,0.237,0.346,4ezn
  90,3shb_B_A-B_0,A,0.204,0.305,0.204,0.305,3shb
  91,4ouc_B_A-B_0,A,0.509,0.254,0.254,0.509,4ouc
  92,3zs6_B_A-B_0,A,0.365,0.141,0.141,0.365,3zs6
  93,2x6m_B_A-B_0,A,0.289,0.297,0.289,0.297,2x6m
  94,1hsb_C_A-B-C_0,A,0.359,0.213,0.213,0.359,1hsb
  95,4k3q_E_A-B-E_0,A,0.346,0.161,0.161,0.346,4k3q
  96,5m5u_G_A-E-G_0,A,0.307,0.152,0.152,0.307,5m5u
  97,4mz6_A_A-C-E_0,E,0.300,0.131,0.131,0.300,4mz6
  98,5elq_P_A-P_0,A,0.292,0.371,0.292,0.371,5elq
  99,3njj_B_A-B_0,A,0.335,0.375,0.335,0.375,3njj
 100,3m5m_C_B-C_1,B,0.304,0.231,0.231,0.304,3m5m
 101,5fch_C_A-B-C_0,A,0.470,0.198,0.198,0.470,5fch
 102,5fch_C_A-B-C_0,B,0.467,0.199,0.199,0.467,5fch
 103,3nil_X_D-X_2,D,0.242,0.326,0.242,0.326,3nil
 104,3agy_C_A-B-C-D-F_0,A,0.317,0.260,0.260,0.317,3agy
 105,1uoq_B_A-B_0,A,0.336,0.098,0.098,0.336,1uoq
 106,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.342,0.214,0.214,0.342,5fjz
 107,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.343,0.215,0.215,0.343,5fjz
 108,1ok7_C_A-B-C_0,B,0.340,0.153,0.153,0.340,1ok7
 109,5fox_C_A-C_0,A,0.324,0.226,0.226,0.324,5fox
 110,3q47_C_B-C_0,B,0.320,0.319,0.319,0.320,3q47
 111,4k72_C_A-C_0,A,0.248,0.319,0.248,0.319,4k72
 112,4g69_B_A-B_0,A,0.282,0.338,0.282,0.338,4g69
 113,2f5b_P_H-L-P_0,L,0.309,0.219,0.219,0.309,2f5b
 114,2f5b_P_H-L-P_0,H,0.323,0.212,0.212,0.323,2f5b
