index,syst,chain,tm1,tm2,min,max,pdb
  62,5azf_C_A-C_0,A,0.172,0.357,0.172,0.357,5azf
  63,3rta_B_A-B_0,F,0.344,0.240,0.240,0.344,3rta
  64,3rta_B_A-B_0,A,0.344,0.240,0.240,0.344,3rta
  65,5grg_D_A-B-C-D_0,A,0.237,0.253,0.237,0.253,5grg
  66,4k3p_E_A-B-E_0,A,0.213,0.188,0.188,0.213,4k3p
  67,3l81_B_A-B_0,A,0.217,0.247,0.217,0.247,3l81
  68,3v43_Q_A-Q_0,A,0.167,0.335,0.167,0.335,3v43
  69,3uf7_B_A-B-C_0,A,0.260,0.326,0.260,0.326,3uf7
  70,1b5i_B_A-B_0,A,0.321,0.219,0.219,0.321,1b5i
  71,4b3b_C_A-C_0,A,0.299,0.369,0.299,0.369,4b3b
  72,1uop_B_A-B_0,A,0.337,0.181,0.181,0.337,1uop
  73,3uoa_L_B-C-L-M_0,B,0.262,0.231,0.231,0.262,3uoa
  74,3f6k_N_A-N_0,A,0.343,0.194,0.194,0.343,3f6k
  75,1tw6_C_A-B-C-D_2,F,0.184,0.408,0.184,0.408,1tw6
  76,1tw6_C_A-B-C-D_2,A,0.147,0.368,0.147,0.368,1tw6
  77,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.144,0.272,0.144,0.272,1kl5
  78,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.139,0.264,0.139,0.264,1kl5
  79,3cbl_B_A-B_0,A,0.292,0.261,0.261,0.292,3cbl
  80,4ezw_E_A-E_0,A,0.200,0.262,0.200,0.262,4ezw
  81,4sga_P_E-P_0,E,0.223,0.322,0.223,0.322,4sga
  82,3rc4_B_A-B_0,A,0.284,0.376,0.284,0.376,3rc4
  83,5v5p_A_A-B-C_0,C,0.396,0.307,0.307,0.396,5v5p
  84,3m5m_C_B-C_1,B,0.253,0.342,0.253,0.342,3m5m
  85,1sts_P_B-D-M-P_0,D,0.152,0.298,0.152,0.298,1sts
  86,1sts_P_B-D-M-P_0,A,0.151,0.291,0.151,0.291,1sts
  87,4j8b_B_A-B_0,A,0.304,0.307,0.304,0.307,4j8b
  88,5ovv_B_A-B_0,A,0.136,0.294,0.136,0.294,5ovv
  89,4j77_D_B-D_1,B,0.304,0.306,0.304,0.306,4j77
  90,1svz_C_A-B-C-D_0,A,0.222,0.267,0.222,0.267,1svz
  91,4z88_V_J-V_1,J,0.099,0.278,0.099,0.278,4z88
  92,5d9g_C_A-C_0,A,0.224,0.257,0.224,0.257,5d9g
  93,4k75_B_A-B_0,A,0.118,0.285,0.118,0.285,4k75
  94,2hl3_C_A-B-C_0,A,0.122,0.318,0.122,0.318,2hl3
  95,2hl3_C_A-B-C_0,B,0.106,0.276,0.106,0.276,2hl3
  96,4jor_D_B-D_1,B,0.119,0.286,0.119,0.286,4jor
  97,2hpl_B_A-B_0,A,0.168,0.391,0.168,0.391,2hpl
  98,2foj_B_A-B_0,A,0.162,0.273,0.162,0.273,2foj
  99,4gyo_C_A-B-C-D_0,B,0.493,0.432,0.432,0.493,4gyo
 100,4odk_C_A-B-C_0,A,0.167,0.271,0.167,0.271,4odk
 101,1olc_B_A-B_0,A,0.321,0.217,0.217,0.321,1olc
 102,3rc5_B_A-B_0,A,0.249,0.335,0.249,0.335,3rc5
 103,3fp2_Q_A-Q_0,A,0.533,0.362,0.362,0.533,3fp2
 104,2y7l_B_A-B_0,A,0.280,0.274,0.274,0.280,2y7l
 105,2d5w_C_A-C_0,A,0.346,0.205,0.205,0.346,2d5w
 106,3jrv_D_B-D_1,B,0.197,0.337,0.197,0.337,3jrv
 107,1h27_E_A-B-E_0,B,0.262,0.293,0.262,0.293,1h27
 108,3mqr_B_A-B_0,A,0.161,0.273,0.161,0.273,3mqr
 109,3shb_B_A-B_0,A,0.141,0.399,0.141,0.399,3shb
 110,5fpk_C_A-C_0,A,0.303,0.370,0.303,0.370,5fpk
 111,1a30_C_A-B-C_0,A,0.162,0.358,0.162,0.358,1a30
 112,1a30_C_A-B-C_0,B,0.173,0.378,0.173,0.378,1a30
 113,4dgb_B_A-B_0,A,0.204,0.314,0.204,0.314,4dgb
 114,1fch_C_A-B-C-D_2,F,0.957,0.973,0.957,0.973,1fch
 115,1fch_C_A-B-C-D_2,A,1.000,1.000,1.000,1.000,1fch
 116,5sxm_D_B-D_1,B,0.320,0.319,0.319,0.320,5sxm
 117,1str_M_B-D-M-P_0,C,0.151,0.288,0.151,0.288,1str
 118,1str_M_B-D-M-P_0,B,0.154,0.293,0.154,0.293,1str
 119,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.244,0.254,0.244,0.254,2z9i
 120,6hpg_c_C-c_2,C,0.353,0.865,0.353,0.865,6hpg
 121,4q6f_H_C-H_2,C,0.100,0.337,0.100,0.337,4q6f
 122,3wor_C_A-B-C-D_0,A,0.340,0.183,0.183,0.340,3wor
 123,1u9l_C_B-C_1,B,0.123,0.382,0.123,0.382,1u9l
 124,3ebb_F_A-B-E-F_0,B,0.410,0.456,0.410,0.456,3ebb
