index,syst,chain,tm1,tm2,min,max,pdb
 217,2nph_S_A-B-S-T_0,B,0.290,0.332,0.290,0.332,2nph
 218,1v1t_S_A-B-S-T_0,B,0.298,0.248,0.248,0.298,1v1t
 219,6ew9_P_A-B-C-P-Q-R_0,A,0.307,0.163,0.163,0.307,6ew9
 220,4j8b_B_A-B_0,A,0.353,0.181,0.181,0.353,4j8b
 221,4od7_E_C-E_2,C,0.277,0.214,0.214,0.277,4od7
 222,3ifo_P_H-L-P_0,L,0.382,0.260,0.260,0.382,3ifo
 223,3ifo_P_H-L-P_0,H,0.392,0.270,0.270,0.392,3ifo
 224,4ezy_B_A-B_2,A,0.382,0.250,0.250,0.382,4ezy
 225,3thk_C_A-C_0,A,0.191,0.283,0.191,0.283,3thk
 226,6fkp_G_C-G_2,C,0.191,0.299,0.191,0.299,6fkp
 227,3l81_B_A-B_0,A,0.378,0.220,0.220,0.378,3l81
 228,3nim_X_F-X_3,F,0.212,0.278,0.212,0.278,3nim
 229,1qka_B_A-B_0,A,0.366,0.125,0.125,0.366,1qka
 230,2v5f_X_A-X_0,A,0.227,0.259,0.227,0.259,2v5f
 231,1uop_B_A-B_0,A,0.372,0.094,0.094,0.372,1uop
 232,5oj5_B_A-B_0,A,0.335,0.166,0.166,0.335,5oj5
 233,3shb_B_A-B_0,A,0.222,0.325,0.222,0.325,3shb
 234,1e4x_P_H-L-P_0,L,0.388,0.265,0.265,0.388,1e4x
 235,1e4x_P_H-L-P_0,H,0.310,0.214,0.214,0.310,1e4x
 236,3drh_B_A-B_0,A,0.334,0.106,0.106,0.334,3drh
 237,4q6f_H_C-H_2,C,0.177,0.275,0.177,0.275,4q6f
 238,5fch_C_A-B-C_0,A,0.421,0.171,0.171,0.421,5fch
 239,5fch_C_A-B-C_0,B,0.423,0.171,0.171,0.423,5fch
 240,1wcy_C_A-B-C-D_0,A,0.405,0.096,0.096,0.405,1wcy
 241,6cwp_F_A-B-F_0,A,0.290,0.157,0.157,0.290,6cwp
 242,6cwp_F_A-B-F_0,B,0.281,0.154,0.154,0.281,6cwp
 243,2wa8_D_C-D_1,C,0.239,0.270,0.239,0.270,2wa8
 244,2x6m_B_A-B_0,A,0.373,0.367,0.367,0.373,2x6m
