index,syst,chain,tm1,tm2,min,max,pdb
  77,1b3l_B_A-B_0,A,0.367,0.124,0.124,0.367,1b3l
  78,4k76_G_C-G_2,C,0.265,0.330,0.265,0.330,4k76
  79,3zin_C_A-B-C_0,A,0.276,0.113,0.113,0.276,3zin
  80,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.367,0.175,0.175,0.367,4tr9
  81,1u9l_C_B-C_1,B,0.230,0.324,0.230,0.324,1u9l
  82,3rte_B_A-B_0,G,0.335,0.125,0.125,0.335,3rte
  83,3rte_B_A-B_0,A,0.335,0.125,0.125,0.335,3rte
  84,5ovc_B_A-B_0,A,0.295,0.342,0.295,0.342,5ovc
  85,4c2g_B_A-B-C_0,A,0.309,0.119,0.119,0.309,4c2g
  86,4ojf_A_A-H-L_0,L,0.393,0.261,0.261,0.393,4ojf
  87,4ojf_A_A-H-L_0,H,0.423,0.281,0.281,0.423,4ojf
  88,2ql9_G_A-B-C-D-E-F-G_0,D,0.278,0.328,0.278,0.328,2ql9
  89,2ql9_G_A-B-C-D-E-F-G_0,A,0.293,0.269,0.269,0.293,2ql9
  90,2ql9_G_A-B-C-D-E-F-G_0,C,0.293,0.269,0.269,0.293,2ql9
  91,2ql9_G_A-B-C-D-E-F-G_0,B,0.273,0.324,0.273,0.324,2ql9
  92,3l81_B_A-B_0,A,0.380,0.220,0.220,0.380,3l81
  93,4joh_D_A-D_0,A,0.259,0.317,0.259,0.317,4joh
  94,2v3s_C_B-C_1,B,0.344,0.399,0.344,0.399,2v3s
  95,4j78_B_A-B_0,A,0.368,0.191,0.191,0.368,4j78
  96,2i3h_C_A-C_0,A,0.258,0.314,0.258,0.314,2i3h
  97,1gyb_E_A-B-E-F_0,A,0.437,0.435,0.435,0.437,1gyb
  98,1gyb_E_A-B-E-F_0,B,0.432,0.430,0.430,0.432,1gyb
  99,4fys_C_A-C_0,A,0.432,0.085,0.085,0.432,4fys
 100,4j77_D_B-D_1,B,0.367,0.195,0.195,0.367,4j77
 101,3lca_Q_A-Q_0,A,0.293,0.109,0.109,0.293,3lca
 102,3ziq_B_A-B-C_0,A,0.264,0.112,0.112,0.264,3ziq
 103,3woq_C_A-B-C-D_0,A,0.381,0.099,0.099,0.381,3woq
 104,2zgh_B_A-B_0,A,0.355,0.228,0.228,0.355,2zgh
 105,1s2k_B_A-B_0,A,0.379,0.265,0.265,0.379,1s2k
 106,6cd9_B_A-B_0,A,0.654,0.501,0.501,0.654,6cd9
 107,3nil_X_D-X_2,D,0.213,0.274,0.213,0.274,3nil
 108,1qka_B_A-B_0,A,0.383,0.120,0.120,0.383,1qka
 109,3q49_C_B-C_0,B,0.250,0.236,0.236,0.250,3q49
 110,4o4y_A_A-H-L_0,L,0.408,0.269,0.269,0.408,4o4y
 111,4o4y_A_A-H-L_0,H,0.394,0.266,0.266,0.394,4o4y
 112,4ezn_C_A-B-C-D_0,A,0.403,0.266,0.266,0.403,4ezn
 113,2v5w_G_B-G-L_1,B,0.365,0.161,0.161,0.365,2v5w
 114,2bgr_Y_A-B-Y-Z_0,A,0.423,0.094,0.094,0.423,2bgr
 115,3oqs_B_A-B_0,A,0.286,0.113,0.113,0.286,3oqs
 116,4j47_B_A-B_0,A,0.244,0.306,0.244,0.306,4j47
