index,syst,chain,tm1,tm2,min,max,pdb
 132,4j78_B_A-B_0,A,0.342,0.130,0.130,0.342,4j78
 133,2h2f_B_A-B_0,A,0.350,0.159,0.159,0.350,2h2f
 134,3nil_X_D-X_2,D,0.301,0.287,0.287,0.301,3nil
 135,3thk_C_A-C_0,A,0.280,0.323,0.280,0.323,3thk
 136,4k3m_E_A-B-E_0,A,0.467,0.133,0.133,0.467,4k3m
 137,2nph_S_A-B-S-T_0,A,0.311,0.267,0.267,0.311,2nph
 138,2nph_S_A-B-S-T_0,B,0.318,0.271,0.271,0.318,2nph
 139,4b3b_C_A-C_0,A,0.304,0.147,0.147,0.304,4b3b
 140,5nqv_G_A-C-E-G_0,C,0.412,0.217,0.217,0.412,5nqv
 141,3zin_C_A-B-C_0,A,0.266,0.082,0.082,0.266,3zin
 142,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.370,0.121,0.121,0.370,2ot0
 143,3fp2_Q_A-Q_0,A,0.320,0.079,0.079,0.320,3fp2
 144,4j47_B_A-B_0,A,0.288,0.272,0.272,0.288,4j47
 145,5wir_D_A-B-C-D_0,B,0.325,0.160,0.160,0.325,5wir
 146,5oav_B_A-B_0,A,0.287,0.330,0.287,0.330,5oav
 147,1awr_J_D-J_5,D,0.367,0.228,0.228,0.367,1awr
 148,5m5v_G_A-E-G-I_0,A,0.391,0.120,0.120,0.391,5m5v
 149,3oqs_B_A-B_0,A,0.295,0.076,0.076,0.295,3oqs
 150,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.331,0.244,0.244,0.331,1kl5
 151,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.334,0.246,0.246,0.334,1kl5
 152,4od7_E_C-E_2,C,0.320,0.181,0.181,0.320,4od7
 153,4jmy_E_A-C-E_0,A,0.375,0.202,0.202,0.375,4jmy
 154,3f6k_N_A-N_0,A,0.360,0.071,0.071,0.360,3f6k
 155,4v3i_B_A-B_0,A,0.296,0.187,0.187,0.296,4v3i
 156,4j86_C_A-C_0,A,0.337,0.127,0.127,0.337,4j86
 157,1b05_B_A-B_0,A,0.388,0.099,0.099,0.388,1b05
 158,4r5i_B_A-B_0,A,0.301,0.152,0.152,0.301,4r5i
 159,4apo_D_B-D_1,B,0.260,0.149,0.149,0.260,4apo
 160,5fow_E_A-E_0,A,0.297,0.145,0.145,0.297,5fow
 161,3cww_E_A-B-D-E_0,A,0.344,0.046,0.046,0.344,3cww
 162,5yba_B_A-B-C-D_0,A,0.367,0.222,0.222,0.367,5yba
 163,4j79_B_A-B_0,A,0.345,0.128,0.128,0.345,4j79
 164,3hds_E_A-D-E_0,D,0.274,0.221,0.221,0.274,3hds
 165,3hds_E_A-D-E_0,A,0.281,0.209,0.209,0.281,3hds
 166,1b4z_B_A-B_0,A,0.386,0.099,0.099,0.386,1b4z
 167,5m5r_D_A-C-D_0,A,0.390,0.118,0.118,0.390,5m5r
 168,3nim_X_F-X_3,F,0.299,0.286,0.286,0.299,3nim
 169,1evh_B_A-B_0,A,0.343,0.275,0.275,0.343,1evh
 170,1wcy_C_A-B-C-D_0,A,0.340,0.060,0.060,0.340,1wcy
 171,3rc4_B_A-B_0,A,0.369,0.197,0.197,0.369,3rc4
 172,6eja_B_A-B_0,A,0.348,0.061,0.061,0.348,6eja
 173,4f75_C_A-B-C-D_0,A,0.298,0.257,0.257,0.298,4f75
 174,4f75_C_A-B-C-D_0,B,0.317,0.269,0.269,0.317,4f75
 175,1b9j_B_A-B_0,A,0.388,0.093,0.093,0.388,1b9j
 176,1oby_Q_A-B-P-Q_0,A,1.000,1.000,1.000,1.000,1oby
 177,1oby_Q_A-B-P-Q_0,B,0.983,0.996,0.983,0.996,1oby
 178,4jok_D_B-D_1,B,0.865,0.760,0.760,0.865,4jok
 179,2h59_D_A-B-D-E_0,A,0.295,0.133,0.133,0.295,2h59
 180,2h59_D_A-B-D-E_0,B,0.330,0.140,0.140,0.330,2h59
 181,2foo_B_A-B_0,A,0.445,0.293,0.293,0.445,2foo
 182,4c2c_B_A-B-C_0,A,0.743,0.145,0.145,0.743,4c2c
 183,1se0_B_A-B_0,A,0.308,0.262,0.262,0.308,1se0
 184,1a7c_B_A-B-C_0,A,0.386,0.130,0.130,0.386,1a7c
 185,4j45_B_A-B_0,A,0.291,0.276,0.276,0.291,4j45
 186,3sjk_B_A-B_0,A,0.335,0.202,0.202,0.335,3sjk
 187,5iz2_Z_A-B-Z_0,B,0.320,0.229,0.229,0.320,5iz2
 188,1b5i_B_A-B_0,A,0.387,0.098,0.098,0.387,1b5i
 189,3f7o_X_A-X_0,A,0.414,0.153,0.153,0.414,3f7o
 190,4pyw_B_A-B-C_0,A,0.379,0.133,0.133,0.379,4pyw
 191,4kg9_B_A-B_0,A,0.446,0.292,0.292,0.446,4kg9
 192,4gne_B_A-B_0,A,0.290,0.251,0.251,0.290,4gne
 193,2v3s_C_B-C_1,B,0.294,0.259,0.259,0.294,2v3s
 194,4j46_B_A-B_0,A,0.292,0.277,0.277,0.292,4j46
 195,6ew9_P_A-B-C-P-Q-R_0,A,0.697,0.196,0.196,0.697,6ew9
 196,3nfk_D_A-B-C-D_2,B,0.915,0.767,0.767,0.915,3nfk
 197,5huy_B_A-B-C_0,C,0.282,0.080,0.080,0.282,5huy
 198,4k3q_E_A-B-E_0,A,0.468,0.133,0.133,0.468,4k3q
 199,3fwv_C_A-C_0,A,0.269,0.188,0.188,0.269,3fwv
 200,4ojf_A_A-H-L_0,L,0.333,0.156,0.156,0.333,4ojf
 201,4ojf_A_A-H-L_0,H,0.367,0.176,0.176,0.367,4ojf
 202,4jwd_C_B-C_1,B,0.281,0.154,0.154,0.281,4jwd
 203,3uoa_L_B-C-L-M_0,B,0.345,0.100,0.100,0.345,3uoa
 204,4sga_P_E-P_0,E,0.377,0.219,0.219,0.377,4sga
 205,1uoq_B_A-B_0,A,0.351,0.067,0.067,0.351,1uoq
 206,4odk_C_A-B-C_0,A,0.288,0.186,0.186,0.288,4odk
 207,5ovc_B_A-B_0,A,0.854,0.687,0.687,0.854,5ovc
 208,1ok7_C_A-B-C_0,B,0.463,0.132,0.132,0.463,1ok7
 209,4faf_D_A-B-D_0,A,0.325,0.275,0.275,0.325,4faf
 210,4faf_D_A-B-D_0,B,0.323,0.274,0.274,0.323,4faf
 211,3mqr_B_A-B_0,A,0.446,0.294,0.294,0.446,3mqr
 212,1sts_P_B-D-M-P_0,D,0.330,0.240,0.240,0.330,1sts
 213,1sts_P_B-D-M-P_0,A,0.323,0.237,0.237,0.323,1sts
 214,2d5w_C_A-C_0,A,0.335,0.077,0.077,0.335,2d5w
 215,1d0a_G_A-B-C-G-H-I_0,A,0.446,0.254,0.254,0.446,1d0a
 216,3nin_E_B-E_1,B,0.304,0.293,0.293,0.304,3nin
 217,5lyn_C_A-B-C-D_0,A,0.235,0.165,0.165,0.235,5lyn
 218,5lyn_C_A-B-C-D_0,B,0.262,0.172,0.172,0.262,5lyn
 219,1ddv_B_A-B_0,A,0.397,0.324,0.324,0.397,1ddv
 220,4joh_D_A-D_0,A,0.864,0.760,0.760,0.864,4joh
 221,3drh_B_A-B_0,A,0.368,0.084,0.084,0.368,3drh
 222,3q49_C_B-C_0,B,0.296,0.189,0.189,0.296,3q49
 223,3agy_C_A-B-C-D-F_0,A,0.292,0.169,0.169,0.292,3agy
 224,1b32_B_A-B_0,A,0.389,0.099,0.099,0.389,1b32
 225,4fii_B_A-B_0,A,0.373,0.131,0.131,0.373,4fii
 226,4k3o_E_A-B-E_0,A,0.468,0.132,0.132,0.468,4k3o
 227,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.378,0.123,0.123,0.378,4tr9
 228,5xcr_F_D-E-F_1,D,0.364,0.217,0.217,0.364,5xcr
 229,5xcr_F_D-E-F_1,E,0.333,0.210,0.210,0.333,5xcr
 230,1yti_I_A-I_0,A,0.322,0.273,0.273,0.322,1yti
 231,1yti_I_A-I_0,B,0.322,0.273,0.273,0.322,1yti
 232,1elr_B_A-B_0,A,0.280,0.196,0.196,0.280,1elr
 233,1olc_B_A-B_0,A,0.409,0.096,0.096,0.409,1olc
 234,6cdg_B_A-B_0,A,0.338,0.214,0.214,0.338,6cdg
 235,3d9t_D_B-D_1,B,0.279,0.245,0.245,0.279,3d9t
 236,3uf7_B_A-B-C_0,A,0.303,0.155,0.155,0.303,3uf7
 237,4gyo_C_A-B-C-D_0,B,0.302,0.104,0.104,0.302,4gyo
 238,5fpk_C_A-C_0,A,0.301,0.147,0.147,0.301,5fpk
 239,4fys_C_A-C_0,A,0.343,0.053,0.053,0.343,4fys
 240,2zjd_D_C-D_5,C,0.432,0.310,0.310,0.432,2zjd
 241,4xal_B_A-B_0,A,0.278,0.251,0.251,0.278,4xal
 242,1s2k_B_A-B_0,A,0.294,0.152,0.152,0.294,1s2k
 243,2v5f_X_A-X_0,A,0.240,0.201,0.201,0.240,2v5f
 244,4j84_D_B-D_1,B,0.340,0.130,0.130,0.340,4j84
 245,3v43_Q_A-Q_0,A,0.327,0.260,0.260,0.327,3v43
 246,5azf_C_A-C_0,A,0.424,0.317,0.317,0.424,5azf
 247,5fox_C_A-C_0,A,0.332,0.161,0.161,0.332,5fox
 248,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.706,0.211,0.211,0.706,2z9i
 249,1czy_D_A-B-C-D-E_0,A,0.446,0.253,0.253,0.446,1czy
 250,1gyb_E_A-B-E-F_0,A,0.366,0.259,0.259,0.366,1gyb
 251,1gyb_E_A-B-E-F_0,B,0.367,0.260,0.260,0.367,1gyb
 252,2hl3_C_A-B-C_0,A,0.264,0.262,0.262,0.264,2hl3
 253,2hl3_C_A-B-C_0,B,0.280,0.286,0.280,0.286,2hl3
 254,4jop_C_A-C_0,A,0.864,0.760,0.760,0.864,4jop
 255,4b8o_C_A-B-C_0,A,0.259,0.083,0.083,0.259,4b8o
 256,1mfl_B_A-B_0,A,0.873,0.704,0.704,0.873,1mfl
 257,4j81_C_B-C_1,B,0.337,0.128,0.128,0.337,4j81
 258,4cic_Q_A-B-Q_0,A,0.344,0.241,0.241,0.344,4cic
 259,4cic_Q_A-B-Q_0,B,0.344,0.242,0.242,0.344,4cic
 260,5fou_C_A-C_0,A,0.318,0.152,0.152,0.318,5fou
 261,5huw_B_A-B-C_0,C,0.291,0.081,0.081,0.291,5huw
 262,3psl_D_B-D_1,B,0.361,0.142,0.142,0.361,3psl
 263,6cd9_B_A-B_0,A,0.340,0.210,0.210,0.340,6cd9
 264,1rzx_B_A-B_0,A,0.853,0.676,0.676,0.853,1rzx
 265,1kyd_P_A-P_0,A,0.318,0.147,0.147,0.318,1kyd
 266,1vwa_M_B-D-M-P_0,C,0.327,0.241,0.241,0.327,1vwa
 267,1vwa_M_B-D-M-P_0,B,0.323,0.238,0.238,0.323,1vwa
 268,4c2g_B_A-B-C_0,A,0.743,0.145,0.145,0.743,4c2g
 269,3rta_B_A-B_0,F,0.432,0.107,0.107,0.432,3rta
 270,3rta_B_A-B_0,A,0.432,0.107,0.107,0.432,3rta
 271,4f74_C_A-B-C_0,A,0.309,0.262,0.262,0.309,4f74
 272,4f74_C_A-B-C_0,B,0.307,0.265,0.265,0.307,4f74
 273,6cd8_C_A-C_0,A,0.326,0.201,0.201,0.326,6cd8
 274,4j09_B_A-B_0,A,0.296,0.121,0.121,0.296,4j09
 275,4j09_B_A-B_0,C,0.296,0.121,0.121,0.296,4j09
 276,3t64_F_A-B-C-F_0,A,0.351,0.226,0.226,0.351,3t64
 277,3t64_F_A-B-C-F_0,B,0.315,0.225,0.225,0.315,3t64
 278,5uw3_E_A-E_0,A,0.327,0.065,0.065,0.327,5uw3
 279,2f5b_P_H-L-P_0,L,0.347,0.174,0.174,0.347,2f5b
 280,2f5b_P_H-L-P_0,H,0.367,0.166,0.166,0.367,2f5b
 281,5y53_F_C-E-F_1,C,0.311,0.229,0.229,0.311,5y53
 282,5y53_F_C-E-F_1,E,0.308,0.228,0.228,0.308,5y53
 283,2foj_B_A-B_0,A,0.446,0.294,0.294,0.446,2foj
 284,3jrv_D_B-D_1,B,0.323,0.220,0.220,0.323,3jrv
 285,3dri_B_A-B_0,A,0.368,0.085,0.085,0.368,3dri
 286,5grg_D_A-B-C-D_0,A,0.321,0.132,0.132,0.321,5grg
 287,3ivq_D_B-D_1,B,0.452,0.292,0.292,0.452,3ivq
 288,3hda_Z_P-Z_0,P,0.345,0.110,0.110,0.345,3hda
 289,4k3r_E_A-B-E_0,A,0.467,0.133,0.133,0.467,4k3r
 290,4j77_D_B-D_1,B,0.340,0.130,0.130,0.340,4j77
 291,5wun_C_A-B-C_0,A,0.269,0.083,0.083,0.269,5wun
 292,1v1t_S_A-B-S-T_0,B,0.969,0.456,0.456,0.969,1v1t
 293,4ezq_B_A-B_1,A,0.299,0.157,0.157,0.299,4ezq
 294,4ny3_C_A-C_0,A,0.364,0.140,0.140,0.364,4ny3
 295,5sxm_D_B-D_1,B,0.364,0.143,0.143,0.364,5sxm
 296,3o2b_D_C-D_1,C,0.273,0.214,0.214,0.273,3o2b
 297,1fch_C_A-B-C-D_2,F,0.308,0.120,0.120,0.308,1fch
 298,1fch_C_A-B-C-D_2,A,0.294,0.105,0.105,0.294,1fch
 299,5ovv_B_A-B_0,A,0.889,0.692,0.692,0.889,5ovv
 300,4zhb_B_A-B_0,A,0.274,0.229,0.229,0.274,4zhb
 301,3ufm_B_A-B_0,A,0.357,0.161,0.161,0.357,3ufm
 302,3zs6_B_A-B_0,A,0.383,0.092,0.092,0.383,3zs6
 303,5fch_C_A-B-C_0,A,0.345,0.105,0.105,0.345,5fch
 304,5fch_C_A-B-C_0,B,0.318,0.100,0.100,0.318,5fch
 305,4o4y_A_A-H-L_0,L,0.367,0.180,0.180,0.367,4o4y
 306,4o4y_A_A-H-L_0,H,0.363,0.177,0.177,0.363,4o4y
 307,4j82_C_A-C_0,A,0.329,0.133,0.133,0.329,4j82
 308,1kyf_P_A-P_0,A,0.325,0.148,0.148,0.325,1kyf
 309,4ba3_B_A-B_0,A,0.283,0.079,0.079,0.283,4ba3
 310,2x6m_B_A-B_0,A,0.363,0.265,0.265,0.363,2x6m
 311,5t6p_E_C-D-E_1,D,0.382,0.182,0.182,0.382,5t6p
 312,5t6p_E_C-D-E_1,C,0.362,0.177,0.177,0.362,5t6p
 313,6cdc_C_A-C_0,A,0.320,0.204,0.204,0.320,6cdc
 314,2g30_S_A-P-S_0,A,0.325,0.143,0.143,0.325,2g30
 315,3upv_B_A-B_0,A,0.262,0.179,0.179,0.262,3upv
 316,3nij_B_A-B_0,A,0.301,0.292,0.292,0.301,3nij
 317,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.317,0.285,0.285,0.317,2y1l
 318,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.388,0.239,0.239,0.388,2y1l
 319,3lny_B_A-B_0,A,0.872,0.715,0.715,0.872,3lny
 320,6fqc_E_A-B-D-E_0,A,0.407,0.124,0.124,0.407,6fqc
 321,5fov_E_A-E_0,A,0.298,0.147,0.147,0.298,5fov
 322,4mz6_A_A-C-E_0,E,0.299,0.080,0.080,0.299,4mz6
 323,5zw6_C_A-B-C-D_0,A,0.308,0.085,0.085,0.308,5zw6
 324,5tu5_B_A-B_0,A,0.332,0.135,0.135,0.332,5tu5
 325,3m5n_F_B-F_1,B,0.375,0.187,0.187,0.375,3m5n
 326,4k72_C_A-C_0,A,0.854,0.752,0.752,0.854,4k72
 327,4mvk_B_A-B_0,A,0.315,0.180,0.180,0.315,4mvk
 328,3t70_F_A-B-C-F_0,A,0.311,0.198,0.198,0.311,3t70
 329,3t70_F_A-B-C-F_0,B,0.319,0.223,0.223,0.319,3t70
 330,4z0u_D_A-D_0,A,0.309,0.196,0.196,0.309,4z0u
 331,4ztd_F_A-B-C-D-E-F_0,C,0.455,0.181,0.181,0.455,4ztd
 332,3woq_C_A-B-C-D_0,A,0.377,0.065,0.065,0.377,3woq
 333,3rt9_B_A-B_0,F,0.430,0.107,0.107,0.430,3rt9
 334,3rt9_B_A-B_0,A,0.430,0.107,0.107,0.430,3rt9
 335,1b40_B_A-B_0,A,0.389,0.097,0.097,0.389,1b40
 336,5iza_B_A-B_0,A,0.277,0.094,0.094,0.277,5iza
 337,2hpl_B_A-B_0,A,0.347,0.282,0.282,0.347,2hpl
 338,4pz3_C_A-B-C_0,B,0.330,0.214,0.214,0.330,4pz3
 339,4k75_B_A-B_0,A,0.865,0.760,0.760,0.865,4k75
 340,5gu4_C_A-C_0,A,0.363,0.164,0.164,0.363,5gu4
 341,4ezw_E_A-E_0,A,0.302,0.145,0.145,0.302,4ezw
