index,syst,chain,tm1,tm2,min,max,pdb
  99,4j46_B_A-B_0,A,0.160,0.309,0.160,0.309,4j46
 100,2x6m_B_A-B_0,A,0.445,0.721,0.445,0.721,2x6m
 101,4qbr_P_A-P_0,A,0.185,0.249,0.185,0.249,4qbr
 102,2fib_B_A-B_0,A,0.259,0.234,0.234,0.259,2fib
 103,4hxj_C_A-C_0,A,0.115,0.273,0.115,0.273,4hxj
 104,2v17_A_A-H-L_0,L,1.000,1.000,1.000,1.000,2v17
 105,2v17_A_A-H-L_0,H,0.711,0.690,0.690,0.711,2v17
 106,3rt9_B_A-B_0,F,0.304,0.164,0.164,0.304,3rt9
 107,3rt9_B_A-B_0,A,0.304,0.164,0.164,0.304,3rt9
 108,2b6n_B_A-B_0,A,0.234,0.196,0.196,0.234,2b6n
 109,2bgr_Y_A-B-Y-Z_0,A,0.303,0.116,0.116,0.303,2bgr
 110,3dri_B_A-B_0,A,0.390,0.186,0.186,0.390,3dri
 111,1ok7_C_A-B-C_0,B,0.288,0.196,0.196,0.288,1ok7
 112,2v1r_R_A-Q-R_0,A,0.133,0.303,0.133,0.303,2v1r
 113,2v5w_G_B-G-L_1,B,0.256,0.178,0.178,0.256,2v5w
 114,3woq_C_A-B-C-D_0,A,0.324,0.133,0.133,0.324,3woq
 115,5d9g_C_A-C_0,A,0.247,0.224,0.224,0.247,5d9g
 116,3drh_B_A-B_0,A,0.390,0.186,0.186,0.390,3drh
 117,3gv4_H_A-H_0,A,0.169,0.279,0.169,0.279,3gv4
 118,1b9j_B_A-B_0,A,0.365,0.186,0.186,0.365,1b9j
 119,4nnm_C_A-C_0,A,0.196,0.301,0.196,0.301,4nnm
 120,2ql9_G_A-B-C-D-E-F-G_0,D,0.183,0.333,0.183,0.333,2ql9
 121,2ql9_G_A-B-C-D-E-F-G_0,A,0.222,0.292,0.222,0.292,2ql9
 122,2ql9_G_A-B-C-D-E-F-G_0,C,0.219,0.288,0.219,0.288,2ql9
 123,2ql9_G_A-B-C-D-E-F-G_0,B,0.183,0.331,0.183,0.331,2ql9
 124,5xup_D_A-B-C-D_0,B,0.237,0.252,0.237,0.252,5xup
 125,1sem_C_A-B-C-D_0,A,0.131,0.316,0.131,0.316,1sem
 126,5wir_D_A-B-C-D_0,B,0.201,0.206,0.201,0.206,5wir
 127,1h27_E_A-B-E_0,B,0.289,0.253,0.253,0.289,1h27
 128,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.260,0.387,0.260,0.387,1kl5
 129,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.257,0.382,0.257,0.382,1kl5
 130,5elq_P_A-P_0,A,0.164,0.290,0.164,0.290,5elq
 131,3m5o_C_A-C_0,A,0.262,0.276,0.262,0.276,3m5o
 132,1lvm_C_A-C-E_0,A,0.209,0.200,0.200,0.209,1lvm
 133,1awr_J_D-J_5,D,0.220,0.265,0.220,0.265,1awr
 134,3nin_E_B-E_1,B,0.162,0.304,0.162,0.304,3nin
 135,4z0u_D_A-D_0,A,0.209,0.260,0.209,0.260,4z0u
 136,2y7l_B_A-B_0,A,0.342,0.248,0.248,0.342,2y7l
 137,4m38_E_A-B-E-F_0,A,0.345,0.250,0.250,0.345,4m38
 138,1v1t_S_A-B-S-T_0,B,0.247,0.300,0.247,0.300,1v1t
 139,4k3m_E_A-B-E_0,A,0.280,0.194,0.194,0.280,4k3m
 140,3fp2_Q_A-Q_0,A,0.250,0.138,0.138,0.250,3fp2
 141,5wun_C_A-B-C_0,A,0.249,0.153,0.153,0.249,5wun
 142,2d5w_C_A-C_0,A,0.351,0.162,0.162,0.351,2d5w
 143,4quh_D_A-C-D-I-J_0,A,0.260,0.246,0.246,0.260,4quh
 144,5yba_B_A-B-C-D_0,A,0.210,0.244,0.210,0.244,5yba
 145,4v3i_B_A-B_0,A,0.198,0.247,0.198,0.247,4v3i
 146,2foo_B_A-B_0,A,0.288,0.408,0.288,0.408,2foo
 147,4gne_B_A-B_0,A,0.170,0.280,0.170,0.280,4gne
 148,1qka_B_A-B_0,A,0.364,0.186,0.186,0.364,1qka
 149,4k3r_E_A-B-E_0,A,0.277,0.192,0.192,0.277,4k3r
 150,4faf_D_A-B-D_0,A,0.172,0.297,0.172,0.297,4faf
 151,4faf_D_A-B-D_0,B,0.174,0.300,0.174,0.300,4faf
 152,4mvk_B_A-B_0,A,0.228,0.266,0.228,0.266,4mvk
 153,1ddv_B_A-B_0,A,0.164,0.273,0.164,0.273,1ddv
 154,2nph_S_A-B-S-T_0,A,0.173,0.299,0.173,0.299,2nph
 155,2nph_S_A-B-S-T_0,B,0.174,0.303,0.174,0.303,2nph
 156,1vwa_M_B-D-M-P_0,C,0.268,0.397,0.268,0.397,1vwa
 157,1vwa_M_B-D-M-P_0,B,0.264,0.389,0.264,0.389,1vwa
 158,4ztd_F_A-B-C-D-E-F_0,C,0.234,0.209,0.209,0.234,4ztd
 159,2i3h_C_A-C_0,A,0.178,0.325,0.178,0.325,2i3h
 160,6hpg_c_C-c_2,C,0.184,0.271,0.184,0.271,6hpg
 161,1mfl_B_A-B_0,A,0.175,0.309,0.175,0.309,1mfl
 162,3upv_B_A-B_0,A,0.180,0.259,0.180,0.259,3upv
 163,2zgh_B_A-B_0,A,0.282,0.267,0.267,0.282,2zgh
 164,4ynl_C_A-B-C-D_0,A,0.138,0.273,0.138,0.273,4ynl
